Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2019-10-08,323.8,0.345,3.08,1.23,,,,76173.16999999998
2019-10-09,318.2,0.34,3.08,1.21,,,,74957.44
2019-10-10,318.8,0.34,3.11,1.28,,,,75889.84
2019-10-11,324.8,0.345,3.1,1.31,,,,77206.87
2019-10-14,328.2,0.345,3.19,1.29,,,,78193.77999999998
2019-10-15,328.8,0.34,3.44,1.27,,,,79642.3
2019-10-16,331.0,0.355,3.43,1.27,,,,80052.18000000001
2019-10-17,331.0,0.35,3.8,1.28,,,,82409.55
2019-10-18,331.0,0.34,3.9,1.28,,,,82978.31
2019-10-21,324.8,0.355,3.8,1.27,,,,81227.59
2019-10-22,327.6,0.35,3.8,1.27,,,,81706.32
2019-10-23,320.0,0.345,3.85,1.26,,,,80531.46999999999
2019-10-24,319.0,0.35,3.81,1.25,,,,80037.79000000001
2019-10-25,316.6,0.355,3.77,1.25,,,,79383.34
2019-10-28,322.0,0.36,3.75,1.26,,,,80347.98
2019-10-29,317.0,0.355,3.77,1.25,,,,79455.34
2019-10-30,316.2,0.35,3.85,1.26,,,,79872.73999999999
2019-10-31,320.8,0.355,3.89,1.25,,,,80882.5
2019-11-04,327.6,0.355,3.92,1.26,,,,82383.52
2019-11-05,333.0,0.355,4.02,1.31,,,,84430.97
2019-11-06,334.0,0.9,3.96,1.28,,,,86720.13
2019-11-07,333.6,1.11,4.07,1.27,,,,88299.47000000002
2019-11-08,327.2,1.0,3.93,1.25,,,,85542.05
2019-11-11,323.0,1.02,3.8,1.21,,,,83717.12
2019-11-12,330.2,0.97,3.73,1.24,,,,84600.59999999999
2019-11-13,327.4,0.86,3.69,1.18,,,,82745.55999999998
2019-11-14,319.8,0.95,3.74,1.19,,,,82233.29999999999
2019-11-15,320.0,0.9,3.69,1.19,,,,81706.94999999998
2019-11-18,330.0,0.89,3.77,1.17,,,,83769.39
2019-11-19,336.6,0.89,3.84,1.22,,,,85847.05
2019-11-20,335.6,0.89,3.86,1.21,,,,85699.68000000001
2019-11-21,329.4,0.89,3.8,1.21,,,,84212.09999999999
2019-11-22,333.6,0.89,3.76,1.19,,,,84537.92
2019-11-25,338.8,0.87,3.78,1.21,,,,85679.15999999999
2019-11-26,335.6,0.78,3.5,1.17,,,,82549.34000000001
2019-11-27,335.0,0.78,3.67,1.19,,,,83676.61
2019-11-28,338.0,0.73,3.77,1.18,,,,84491.98
2019-11-29,331.8,0.7,3.7,1.17,,,,82699.62000000001
2019-12-02,333.0,0.77,3.73,1.15,-16123.0,CKLife,-12414.71,83272.72999999998
2019-12-03,331.0,0.83,3.69,1.15,,,,82000.86999999998
2019-12-04,328.6,0.78,3.67,1.13,,,,81816.0
2019-12-05,330.0,0.79,3.64,1.12,,,,81680.28999999998
2019-12-06,335.6,0.76,3.74,1.24,,,,84734.42
2019-12-09,336.2,0.79,3.7,1.27,,,,84536.31999999999
2019-12-10,336.8,0.78,3.64,1.27,,,,84383.43
2019-12-11,340.0,0.8,3.65,1.26,,,,84708.74999999999
2019-12-12,349.0,0.79,3.68,1.3,,,,86990.14999999998
2019-12-13,361.0,0.79,3.72,1.29,,,,89306.63999999998
2019-12-16,359.8,0.77,3.68,1.46,,,,90615.20999999999
2019-12-17,371.2,0.79,3.75,1.55,,,,93700.40999999997
2019-12-18,377.6,0.8,3.74,1.79,,,,96869.30999999998
2019-12-19,375.6,0.93,3.66,1.79,,,,94574.9
2019-12-20,375.2,0.88,3.6,1.74,,,,94228.62
2019-12-23,377.8,0.88,3.65,1.88,,,,96283.48999999999
2019-12-24,376.8,0.88,3.68,1.88,,,,96289.28
2019-12-27,384.0,0.89,3.85,1.85,,,,98253.70999999999
2019-12-30,383.2,0.87,3.8,1.87,,,,98203.9
2019-12-31,375.6,0.87,3.81,1.88,,,,96989.06
2020-01-02,382.4,0.9,3.81,1.89,,,,97972.22
2020-01-03,383.0,0.88,3.85,1.9,,,,98640.54999999999
2020-01-06,377.4,0.87,3.74,1.86,,,,96697.09
2020-01-07,385.6,0.87,3.65,2.01,,,,98984.16999999998
2020-01-08,382.0,0.85,3.54,2.0,-1177.0,CKLife,-1000.45,97785.08999999998
2020-01-09,390.0,0.87,3.72,2.17,,,,101645.81999999999
2020-01-10,398.6,0.86,3.79,2.34,,,,105300.7
2020-01-13,406.4,0.86,3.63,2.39,,,,106169.96999999999
2020-01-14,400.4,0.86,3.67,2.38,,,,105246.45999999998
2020-01-15,398.8,0.86,3.75,2.35,,,,105180.20999999999
2020-01-16,400.0,0.86,3.69,2.38,,,,105298.31999999999
2020-01-17,399.0,0.87,3.74,2.39,,,,105396.73999999998
2020-01-20,396.0,0.9,3.73,2.47,,,,105157.26999999997
2020-01-21,385.4,0.86,3.54,2.27,,,,100737.83999999998
2020-01-22,391.0,0.88,3.61,2.36,,,,102755.49999999999
2020-01-23,385.6,0.85,3.54,2.26,,,,100805.06999999998
2020-01-24,385.8,0.87,3.54,2.21,,,,100139.99999999999
2020-01-29,383.2,0.83,3.3,2.1,,,,97671.98999999999
2020-01-30,375.0,0.78,3.16,1.89,,,,94025.43999999999
2020-01-31,373.0,0.81,3.09,1.92,,,,93138.23999999999
2020-02-03,380.0,0.79,3.1,1.96,,,,95070.01
2020-02-04,393.0,0.8,3.14,2.08,,,,98630.02999999998
2020-02-05,392.2,0.8,3.1,2.01,,,,97599.69999999998
2020-02-06,400.0,0.81,3.16,2.06,,,,99708.96999999999
2020-02-07,402.4,0.8,3.26,2.07,,,,100973.95999999999
2020-02-10,400.6,0.83,3.25,2.0,,,,99582.04
2020-02-11,409.0,0.85,3.19,2.0,,,,100477.54
2020-02-12,411.0,0.94,3.15,2.06,,,,100035.06
2020-02-13,416.4,0.91,3.12,2.1,,,,101553.56999999999
2020-02-14,415.0,0.95,3.01,2.08,,,,99948.04
2020-02-17,416.6,1.0,3.05,2.12,,,,100236.37999999999
2020-02-18,408.2,0.98,3.0,2.03,-244.0,Cowell,-495.32,97838.57999999999
2020-02-19,411.4,0.98,3.0,2.0,,,,98148.20999999999
2020-02-20,410.0,1.07,3.06,2.04,,,,97520.81
2020-02-21,401.0,1.05,3.31,1.98,,,,97161.23999999999
2020-02-24,390.4,0.99,3.3,1.94,,,,95570.90999999999
2020-02-25,401.6,0.98,3.26,1.91,,,,97195.28
2020-02-26,399.6,1.0,3.21,1.88,,,,96014.34
2020-02-27,399.2,1.01,3.23,1.84,,,,95588.57999999999
2020-02-28,386.0,0.96,3.15,1.71,,,,92175.16999999998
2020-03-02,389.6,0.96,3.16,1.78,,,,93506.62999999999
2020-03-03,394.0,0.99,3.14,1.78,,,,93807.38999999998
2020-03-04,394.0,0.98,3.14,1.78,,,,93929.84999999999
2020-03-05,406.2,0.97,3.14,1.81,,,,96514.68000000001
2020-03-06,395.8,0.96,3.1,1.75,,,,93984.68
2020-03-09,377.4,0.89,2.95,1.6,,,,89269.09999999999
2020-03-10,383.0,0.89,3.02,1.64,,,,91065.76999999999
2020-03-11,378.4,0.88,3.06,1.58,,,,90075.21
2020-03-12,363.6,0.85,2.92,1.48,,,,86023.67
2020-03-13,365.0,0.88,2.9,1.5,,,,85962.01
2020-03-16,341.8,0.83,2.71,1.37,,,,80067.37
2020-03-17,349.8,0.82,2.66,1.34,,,,81053.81
2020-03-18,334.0,0.77,2.63,1.24,,,,77748.42
2020-03-19,343.0,0.69,2.58,1.21,,,,79772.07999999999
2020-03-20,359.6,0.71,2.69,1.29,,,,83906.71
2020-03-23,348.0,0.67,2.53,1.2,,,,80518.56
2020-03-24,365.2,0.71,2.56,1.26,,,,83843.24999999999
2020-03-25,380.0,0.74,2.7,1.58,,,,89848.17
2020-03-26,381.8,0.78,2.65,1.51,,,,88751.14999999998
2020-03-27,382.4,1.06,2.73,2.0,,,,90276.42
2020-03-30,376.6,0.96,2.69,1.97,,,,89942.93
2020-03-31,380.2,0.93,2.66,1.83,,,,89529.46
2020-04-01,374.4,0.88,2.56,1.88,,,,88922.41
2020-04-02,379.8,0.96,2.51,1.89,,,,88693.86999999998
2020-04-03,376.4,0.93,2.51,1.86,,,,88182.87999999999
2020-04-06,381.4,0.95,2.48,1.9,,,,89007.33
