,tencent,cklife,waison,cowell,quantity,asset,trade_value,portfolio_value
2019-09-23,335.8,0.355,2.96,1.26,,,,92601.26
2019-09-24,335.6,0.355,2.89,1.24,,,,91260.74
2019-09-25,328.4,0.35,2.8,1.22,,,,88988.48999999999
2019-09-26,332.4,0.355,2.86,1.22,,,,90213.97999999998
2019-09-27,329.4,0.35,2.95,1.23,,,,91341.51000000001
2019-09-30,330.2,0.355,2.97,1.24,,,,91901.06000000001
2019-10-02,325.0,0.36,3.0,1.25,,,,92072.05
2019-10-03,325.2,0.355,3.0,1.2,,,,91185.7
2019-10-04,322.8,0.345,3.06,1.23,,,,92257.70000000001
2019-10-08,323.8,0.345,3.08,1.23,,,,92624.58000000002
2019-10-09,318.2,0.34,3.08,1.21,,,,91748.09
2019-10-10,318.8,0.34,3.11,1.28,,,,93433.15
2019-10-11,324.8,0.345,3.1,1.31,,,,94378.82000000002
2019-10-14,328.2,0.345,3.19,1.29,,,,95586.14000000001
2019-10-15,328.8,0.34,3.44,1.27,,,,98741.25
2019-10-16,331.0,0.355,3.43,1.27,,,,98905.96
2019-10-17,331.0,0.35,3.8,1.28,,,,104201.81
2019-10-18,331.0,0.34,3.9,1.28,,,,105522.51000000001
2019-10-21,324.8,0.355,3.8,1.27,,,,103519.64
2019-10-22,327.6,0.35,3.8,1.27,,,,103729.19
2019-10-23,320.0,0.345,3.85,1.26,,,,103547.32
2019-10-24,319.0,0.35,3.81,1.25,,,,102764.99
2019-10-25,316.6,0.355,3.77,1.25,,,,102032.88
2019-10-28,322.0,0.36,3.75,1.26,,,,102439.47
2019-10-29,317.0,0.355,3.77,1.25,,,,102068.08
2019-10-30,316.2,0.35,3.85,1.26,,,,103249.77
2019-10-31,320.8,0.355,3.89,1.25,,,,104075.76000000001
2019-11-04,327.6,0.355,3.92,1.26,,,,105265.90000000001
2019-11-05,333.0,0.355,4.02,1.31,,,,108002.6
2019-11-06,334.0,0.9,3.96,1.28,,,,110750.35
2019-11-07,333.6,1.11,4.07,1.27,,,,113623.27
2019-11-08,327.2,1.0,3.93,1.25,,,,109950.37000000001
2019-11-11,323.0,1.02,3.8,1.21,,,,107221.77000000002
2019-11-12,330.2,0.97,3.73,1.24,,,,107031.05
2019-11-13,327.4,0.86,3.69,1.18,,,,104375.67
2019-11-14,319.8,0.95,3.74,1.19,,,,105240.79000000001
2019-11-15,320.0,0.9,3.69,1.19,,,,104192.69
2019-11-18,330.0,0.89,3.77,1.17,,,,105767.67
2019-11-19,336.6,0.89,3.84,1.22,,,,108191.65
2019-11-20,335.6,0.89,3.86,1.21,,,,108209.11000000002
2019-11-21,329.4,0.89,3.8,1.21,,,,106826.87
2019-11-22,333.6,0.89,3.76,1.19,,,,106291.87000000001
2019-11-25,338.8,0.87,3.78,1.21,,,,107227.79000000001
2019-11-26,335.6,0.78,3.5,1.17,,,,101684.89
2019-11-27,335.0,0.78,3.67,1.19,,,,104349.40999999999
2019-11-28,338.0,0.73,3.77,1.18,,,,105465.89
2019-11-29,331.8,0.7,3.7,1.17,,,,103549.69000000002
2019-12-02,333.0,0.77,3.73,1.15,,,,104242.67000000001
2019-12-03,331.0,0.83,3.69,1.15,,,,103951.11
2019-12-04,328.6,0.78,3.67,1.13,,,,102745.69
2019-12-05,330.0,0.79,3.64,1.12,,,,102350.85
2019-12-06,335.6,0.76,3.74,1.24,,,,106097.99
2019-12-09,336.2,0.79,3.7,1.27,,,,106334.39000000001
2019-12-10,336.8,0.78,3.64,1.27,,,,105476.85
2019-12-11,340.0,0.8,3.65,1.26,,,,105871.87000000001
2019-12-12,349.0,0.79,3.68,1.3,,,,107702.17000000001
2019-12-13,361.0,0.79,3.72,1.29,,,,109142.51000000001
2019-12-16,359.8,0.77,3.68,1.46,,,,111279.89000000001
2019-12-17,371.2,0.79,3.75,1.55,,,,114967.35
2019-12-18,377.6,0.8,3.74,1.79,,,,119626.89000000001
2019-12-19,375.6,0.93,3.66,1.79,,,,119293.47
2019-12-20,375.2,0.88,3.6,1.74,,,,117186.03000000001
2019-12-23,377.8,0.88,3.65,1.88,,,,120539.91
2019-12-24,376.8,0.88,3.68,1.88,,,,120870.23000000001
2019-12-27,384.0,0.89,3.85,1.85,,,,123427.75000000001
2019-12-30,383.2,0.87,3.8,1.87,,,,122859.59
2019-12-31,375.6,0.87,3.81,1.88,,,,122503.65
2020-01-02,382.4,0.9,3.81,1.89,,,,123496.57
2020-01-03,383.0,0.88,3.85,1.9,,,,124133.15
2020-01-06,377.4,0.87,3.74,1.86,,,,121339.13
2020-01-07,385.6,0.87,3.65,2.01,,,,123407.07
2020-01-08,382.0,0.85,3.54,2.0,,,,121235.61000000002
2020-01-09,390.0,0.87,3.72,2.17,,,,127545.07
2020-01-10,398.6,0.86,3.79,2.34,,,,132152.39
2020-01-13,406.4,0.86,3.63,2.39,,,,131474.85
2020-01-14,400.4,0.86,3.67,2.38,,,,131331.19
2020-01-15,398.8,0.86,3.75,2.35,,,,131785.65000000002
2020-01-16,400.0,0.86,3.69,2.38,,,,131574.87
2020-01-17,399.0,0.87,3.74,2.39,,,,132431.19000000003
2020-01-20,396.0,0.9,3.73,2.47,,,,133636.21
2020-01-21,385.4,0.86,3.54,2.27,,,,126290.85
2020-01-22,391.0,0.88,3.61,2.36,,,,129467.91
2020-01-23,385.6,0.85,3.54,2.26,,,,126061.33
2020-01-24,385.8,0.87,3.54,2.21,,,,125359.23000000001
2020-01-29,383.2,0.83,3.3,2.1,,,,119581.45000000001
2020-01-30,375.0,0.78,3.16,1.89,,,,112897.37
2020-01-31,373.0,0.81,3.09,1.92,,,,112486.65000000001
2020-02-03,380.0,0.79,3.1,1.96,,,,113788.37000000002
2020-02-04,393.0,0.8,3.14,2.08,,,,117644.87000000001
2020-02-05,392.2,0.8,3.1,2.01,,,,115802.77
2020-02-06,400.0,0.81,3.16,2.06,,,,118266.61
2020-02-07,402.4,0.8,3.26,2.07,,,,119971.93
2020-02-10,400.6,0.83,3.25,2.0,,,,118681.25
2020-02-11,409.0,0.85,3.19,2.0,,,,118731.21
2020-02-12,411.0,0.94,3.15,2.06,,,,120053.27
2020-02-13,416.4,0.91,3.12,2.1,,,,120582.73000000001
2020-02-14,415.0,0.95,3.01,2.08,,,,118873.65000000001
2020-02-17,416.6,1.0,3.05,2.12,,,,120634.39000000001
2020-02-18,408.2,0.98,3.0,2.03,,,,117489.81
2020-02-19,411.4,0.98,3.0,2.0,,,,117251.15
2020-02-20,410.0,1.07,3.06,2.04,,,,119321.57
2020-02-21,401.0,1.05,3.31,1.98,,,,120827.65
2020-02-24,390.4,0.99,3.3,1.94,,,,118619.53
2020-02-25,401.6,0.98,3.26,1.91,,,,118453.41
2020-02-26,399.6,1.0,3.21,1.88,,,,117207.35
2020-02-27,399.2,1.01,3.23,1.84,,,,116831.05
2020-02-28,386.0,0.96,3.15,1.71,,,,111930.97
2020-03-02,389.6,0.96,3.16,1.78,,,,113601.15000000002
2020-03-03,394.0,0.99,3.14,1.78,,,,113930.57
2020-03-04,394.0,0.98,3.14,1.78,,,,113856.87000000002
2020-03-05,406.2,0.97,3.14,1.81,,,,115377.03000000001
2020-03-06,395.8,0.96,3.1,1.75,,,,112789.85
2020-03-09,377.4,0.89,2.95,1.6,,,,105961.85
2020-03-10,383.0,0.89,3.02,1.64,,,,108124.41
2020-03-11,378.4,0.88,3.06,1.58,,,,107163.15000000001
2020-03-12,363.6,0.85,2.92,1.48,,,,101953.29000000001
2020-03-13,365.0,0.88,2.9,1.5,,,,102365.55
2020-03-16,341.8,0.83,2.71,1.37,,,,95051.63
2020-03-17,349.8,0.82,2.66,1.34,,,,94464.47
2020-03-18,334.0,0.77,2.63,1.24,,,,90553.05
2020-03-19,343.0,0.69,2.58,1.21,,,,89537.99000000002
2020-03-20,359.6,0.71,2.69,1.29,,,,94067.39000000001
2020-03-23,348.0,0.67,2.53,1.2,,,,88959.97
2020-03-24,365.2,0.71,2.56,1.26,,,,92227.21
2020-03-25,380.0,0.74,2.7,1.58,,,,101252.31000000001
2020-03-26,381.8,0.78,2.65,1.51,,,,99794.37000000001
2020-03-27,382.4,1.06,2.73,2.0,,,,111523.87
2020-03-30,376.6,0.96,2.69,1.97,,,,109198.45000000001
2020-03-31,380.2,0.93,2.66,1.83,,,,106447.95
2020-04-01,374.4,0.88,2.56,1.88,,,,105041.75
2020-04-02,379.8,0.96,2.51,1.89,,,,105582.76999999999
2020-04-03,376.4,0.93,2.51,1.86,,,,104542.20999999999
2020-04-06,381.4,0.95,2.48,1.9,,,,105404.97
